Zip Code,Number of Returns,Adjusted gross income (AGI)
16666,"  1,362 ","  46,921 "
16667,  698 ,"  25,144 "
16668,"  1,677 ","  65,834 "
16669,"  1,009 ","  42,345 "
16671,  266 ,"  9,718 "
16673,"  2,634 ","  115,661 "
16674,  280 ,"  9,519 "
16678,"  1,252 ","  46,955 "
16679,  345 ,"  11,568 "
16686,"  6,483 ","  251,964 "
16692,  341 ,"  11,777 "
16693,"  1,921 ","  68,930 "
16695,  443 ,"  16,356 "
16701,"  7,973 ","  349,095 "
16720,  650 ,"  21,672 "
16726,  253 ,"  8,385 "
16729,  367 ,"  14,319 "
16731,"  1,348 ","  51,777 "
16735,"  2,951 ","  128,991 "
16738,  645 ,"  24,012 "
16740,  586 ,"  21,341 "
16743,"  1,868 ","  74,100 "
16745,  284 ,"  10,184 "
16746,  558 ,"  18,272 "
16748,"  1,335 ","  51,775 "
16749,"  1,908 ","  75,256 "
16801,"  13,502 ","  811,633 "
16802,  355 ,"  6,272 "
16803,"  9,610 ","  594,204 "
16804,  279 ,"  14,379 "
16820,  476 ,"  17,380 "
16822,"  1,085 ","  45,764 "
16823,"  11,407 ","  505,443 "
16826,  453 ,"  17,618 "
16827,"  2,269 ","  166,849 "
16828,"  2,204 ","  110,636 "
16829,  342 ,"  13,121 "
16830,"  6,413 ","  268,802 "
16833,"  2,435 ","  88,639 "
16836,  532 ,"  20,072 "
16838,  887 ,"  32,827 "
16841,"  2,414 ","  98,165 "
16843,  418 ,"  10,921 "
16844,"  1,282 ","  53,339 "
16845,  340 ,"  14,752 "
16851,  671 ,"  35,198 "
16853,  715 ,"  23,735 "
16854,  500 ,"  17,028 "
16858,"  1,650 ","  65,613 "
16859,  252 ,"  9,315 "
16863,  355 ,"  13,900 "
16865,  887 ,"  50,340 "
16866,"  3,822 ","  163,453 "
16868,  417 ,"  20,371 "
16870,"  3,298 ","  262,811 "
16872,  523 ,"  17,377 "
16874,  615 ,"  23,678 "
16875,"  1,769 ","  87,055 "
16877,  802 ,"  44,755 "
16878,  879 ,"  33,516 "
16881,  996 ,"  37,046 "
16901,"  4,781 ","  209,546 "
16912,  883 ,"  30,664 "
16914,"  1,040 ","  47,336 "
16915,"  2,671 ","  122,221 "
16917,  656 ,"  24,612 "
16920,  859 ,"  28,513 "
16922,  926 ,"  30,911 "
16923,  592 ,"  20,846 "
16925,"  1,480 ","  60,078 "
16926,  410 ,"  17,010 "
16928,  602 ,"  23,066 "
16929,"  1,039 ","  38,753 "
16930,  578 ,"  24,826 "
16932,  292 ,"  12,184 "
16933,"  2,716 ","  114,922 "
16935,  562 ,"  22,307 "
16936,  999 ,"  40,101 "
16938,  349 ,"  11,977 "
16942,  375 ,"  12,365 "
16946,"  1,206 ","  44,265 "
16947,"  2,115 ","  96,984 "
16948,  713 ,"  24,556 "
16950,"  1,435 ","  52,951 "
17002,  270 ,"  8,893 "
17003,"  5,395 ","  270,539 "
17004,"  1,913 ","  72,414 "
17006,  471 ,"  17,222 "
17007,"  2,932 ","  186,079 "
17009,  990 ,"  33,204 "
17011,"  17,098 ","  1,057,252 "
17013,"  16,788 ","  810,959 "
17015,"  10,843 ","  618,697 "
17016,  638 ,"  32,406 "
17017,  862 ,"  36,507 "
17018,"  2,356 ","  124,528 "
17019,"  8,893 ","  504,431 "
17020,"  4,525 ","  203,340 "
17021,  480 ,"  17,734 "
17022,"  14,017 ","  737,946 "
17023,"  1,682 ","  72,610 "
17024,  897 ,"  43,496 "
17025,"  8,761 ","  459,806 "
17026,"  1,809 ","  80,485 "
17027,  289 ,"  12,875 "
17028,"  1,935 ","  87,257 "
17030,  441 ,"  16,263 "
17032,"  4,045 ","  193,387 "
17033,"  7,821 ","  510,761 "
17034,"  1,420 ","  48,559 "
17035,  373 ,"  12,881 "
17036,"  11,581 ","  858,594 "
17037,  441 ,"  17,135 "
17038,"  4,080 ","  177,719 "
17040,"  1,239 ","  56,120 "
17042,"  18,548 ","  949,627 "
17043,"  3,470 ","  197,991 "
17044,"  9,804 ","  365,535 "
17045,"  1,577 ","  68,312 "
17046,"  14,510 ","  512,493 "
17047,"  1,131 ","  46,806 "
17048,"  1,648 ","  61,256 "
17049,"  1,477 ","  64,747 "
17050,"  16,686 ","  1,236,438 "
17051,"  1,943 ","  76,614 "
17052,  726 ,"  26,344 "
17053,"  2,655 ","  124,580 "
17055,"  18,623 ","  1,147,556 "
17057,"  11,293 ","  513,994 "
17058,  854 ,"  27,707 "
17059,"  3,379 ","  147,292 "
17060,  568 ,"  17,835 "
17061,"  3,383 ","  150,466 "
17062,"  1,922 ","  87,310 "
17063,"  1,512 ","  51,547 "
17064,  529 ,"  35,184 "
17065,"  2,146 ","  94,727 "
17066,"  2,329 ","  76,294 "
17067,"  7,001 ","  316,936 "
17068,"  2,060 ","  89,102 "
17070,"  8,811 ","  450,334 "
17073,"  2,441 ","  122,572 "
17074,"  3,641 ","  148,752 "
17078,"  10,655 ","  571,503 "
17082,"  1,533 ","  58,501 "
17084,"  2,034 ","  93,968 "
17086,"  1,070 ","  42,844 "
17087,"  1,342 ","  64,336 "
17088,  397 ,"  18,069 "
17090,"  2,599 ","  119,082 "
17093,  375 ,"  15,438 "
17094,"  1,101 ","  45,939 "
17097,  395 ,"  14,024 "
17098,"  1,218 ","  45,753 "
17099,  559 ,"  18,739 "
17101,"  1,053 ","  32,232 "
17102,"  3,911 ","  140,559 "
17103,"  5,661 ","  150,930 "
17104,"  8,886 ","  250,817 "
17105,  488 ,"  12,297 "
17109,"  12,692 ","  515,330 "
17110,"  13,078 ","  701,341 "
17111,"  15,904 ","  857,062 "
17112,"  18,111 ","  1,185,624 "
17113,"  5,723 ","  198,019 "
17201,"  14,842 ","  657,362 "
17202,"  12,595 ","  676,571 "
17212,  281 ,"  12,454 "
17213,  280 ,"  10,619 "
17214,  649 ,"  30,829 "
17221,  328 ,"  11,380 "
17222,"  5,396 ","  260,382 "
17224,  895 ,"  36,191 "
17225,"  9,078 ","  473,233 "
17228,  572 ,"  21,916 "
17229,  595 ,"  23,737 "
17233,"  2,610 ","  107,644 "
17235,  349 ,"  13,940 "
17236,"  4,142 ","  199,159 "
17237,  762 ,"  32,175 "
17238,  903 ,"  36,027 "
17240,"  1,543 ","  67,560 "
17241,"  5,956 ","  256,288 "
17243,  603 ,"  23,433 "
17244,"  1,087 ","  45,718 "
17247,  281 ,"  12,000 "
17252,"  1,869 ","  77,656 "
17254,  251 ,"  14,032 "
17255,  511 ,"  21,346 "
17257,"  11,399 ","  505,929 "
17260,  523 ,"  19,239 "
17262,  452 ,"  17,154 "
17263,  356 ,"  14,141 "
17264,"  1,058 ","  38,847 "
