PENNSYLVANIA,,,
"Individual Income Tax Returns: 
Selected Income and Tax Items by State, 
ZIP Code, and Size of Adjusted Gross Income, 
Tax Year 2010                                                                                                                                                                                                                                                                                                                                                                                                            ",,,
[Money amounts are in thousands of dollars],,,
"ZIP
code [1]",Size of adjusted gross income,Number of returns,Adjusted gross income (AGI)
15217,"$50,000 under $75,000",1583,96802
15217,"$75,000 under $100,000",1003,86732
15217,"$100,000 under $200,000",1785,247466
15217,"$200,000 or more",1282,612988
,,,
15218,,"7,414","382,187"
15218,"$1 under $25,000",2968,36972
15218,"$25,000 under $50,000",2016,72566
15218,"$50,000 under $75,000",1032,63007
15218,"$75,000 under $100,000",588,50646
15218,"$100,000 under $200,000",624,83574
15218,"$200,000 or more",186,75422
,,,
15219,,"5,105","222,505"
15219,"$1 under $25,000",3067,36237
15219,"$25,000 under $50,000",1274,44131
15219,"$50,000 under $75,000",370,22427
15219,"$75,000 under $100,000",176,14993
15219,"$100,000 under $200,000",134,18323
15219,"$200,000 or more",84,86394
,,,
15220,,"9,369","524,367"
15220,"$1 under $25,000",3174,37059
15220,"$25,000 under $50,000",2423,88488
15220,"$50,000 under $75,000",1640,100896
15220,"$75,000 under $100,000",1005,86512
15220,"$100,000 under $200,000",976,126016
15220,"$200,000 or more",151,85396
,,,
15221,,"15,656","656,957"
15221,"$1 under $25,000",7146,89344
15221,"$25,000 under $50,000",4384,156239
15221,"$50,000 under $75,000",1898,115624
15221,"$75,000 under $100,000",1071,92353
15221,"$100,000 under $200,000",957,124911
15221,"$200,000 or more",200,78486
,,,
15222,,"2,453","285,658"
15222,"$1 under $25,000",906,8353
15222,"$25,000 under $50,000",427,15635
15222,"$50,000 under $75,000",281,17422
15222,"$75,000 under $100,000",196,16905
15222,"$100,000 under $200,000",336,46975
15222,"$200,000 or more",307,180368
,,,
15223,,"3,947","144,678"
15223,"$1 under $25,000",1765,22018
15223,"$25,000 under $50,000",1187,42322
15223,"$50,000 under $75,000",539,32936
15223,"$75,000 under $100,000",274,23627
15223,"$100,000 under $200,000",182,23775
15223,"$200,000 or more",**,**
,,,
15224,,"5,307","172,408"
15224,"$1 under $25,000",2693,34794
15224,"$25,000 under $50,000",1668,57825
15224,"$50,000 under $75,000",538,32486
15224,"$75,000 under $100,000",223,19077
15224,"$100,000 under $200,000",159,20896
15224,"$200,000 or more",26,7330
,,,
15225,,641,"25,120"
15225,"$1 under $25,000",304,4069
15225,"$25,000 under $50,000",194,6979
15225,"$50,000 under $75,000",77,4692
15225,"$75,000 under $100,000",40,3407
15225,"$100,000 under $200,000",26,5973
15225,"$200,000 or more",**,**
,,,
15226,,"7,289","307,144"
15226,"$1 under $25,000",2817,35412
15226,"$25,000 under $50,000",2132,77523
15226,"$50,000 under $75,000",1228,75357
15226,"$75,000 under $100,000",661,56875
15226,"$100,000 under $200,000",427,53819
15226,"$200,000 or more",24,8158
,,,
15227,,"15,227","688,116"
15227,"$1 under $25,000",5950,72809
15227,"$25,000 under $50,000",4089,148031
15227,"$50,000 under $75,000",2387,146475
15227,"$75,000 under $100,000",1476,127421
15227,"$100,000 under $200,000",1208,153332
15227,"$200,000 or more",117,40048
,,,
15228,,"8,940","813,218"
15228,"$1 under $25,000",2827,28511
15228,"$25,000 under $50,000",1589,58659
15228,"$50,000 under $75,000",1126,69737
15228,"$75,000 under $100,000",918,80364
15228,"$100,000 under $200,000",1662,229318
15228,"$200,000 or more",818,346629
,,,
15229,,"7,557","369,743"
15229,"$1 under $25,000",2635,31358
15229,"$25,000 under $50,000",2006,73213
15229,"$50,000 under $75,000",1354,83817
15229,"$75,000 under $100,000",795,68708
15229,"$100,000 under $200,000",687,87676
15229,"$200,000 or more",80,24971
,,,
15232,,"5,484","512,364"
15232,"$1 under $25,000",2076,26802
15232,"$25,000 under $50,000",1453,52516
15232,"$50,000 under $75,000",701,42468
15232,"$75,000 under $100,000",324,27842
15232,"$100,000 under $200,000",524,72745
15232,"$200,000 or more",406,289991
,,,
15233,,"1,477","72,760"
15233,"$1 under $25,000",672,8828
15233,"$25,000 under $50,000",428,15199
15233,"$50,000 under $75,000",184,11165
15233,"$75,000 under $100,000",87,7468
15233,"$100,000 under $200,000",83,10927
15233,"$200,000 or more",23,19173
,,,
15234,,"7,709","364,475"
15234,"$1 under $25,000",2854,34802
15234,"$25,000 under $50,000",2131,77677
15234,"$50,000 under $75,000",1216,74642
15234,"$75,000 under $100,000",795,68639
15234,"$100,000 under $200,000",627,80176
15234,"$200,000 or more",86,28539
,,,
15235,,"18,659","881,253"
15235,"$1 under $25,000",7211,88105
15235,"$25,000 under $50,000",5141,184663
15235,"$50,000 under $75,000",2984,182718
15235,"$75,000 under $100,000",1671,143736
15235,"$100,000 under $200,000",1413,181866
15235,"$200,000 or more",239,100165
,,,
15236,,"15,620","847,181"
15236,"$1 under $25,000",5413,61939
15236,"$25,000 under $50,000",3550,130826
15236,"$50,000 under $75,000",2567,158967
15236,"$75,000 under $100,000",1950,168681
15236,"$100,000 under $200,000",1891,243056
15236,"$200,000 or more",249,83712
,,,
15237,,"22,302","1,564,598"
15237,"$1 under $25,000",6910,74687
15237,"$25,000 under $50,000",4648,172492
15237,"$50,000 under $75,000",3392,209384
15237,"$75,000 under $100,000",2610,226543
15237,"$100,000 under $200,000",3728,499599
15237,"$200,000 or more",1014,381893
,,,
15238,,"6,981","1,135,471"
15238,"$1 under $25,000",2183,20815
15238,"$25,000 under $50,000",1076,39045
15238,"$50,000 under $75,000",739,45810
15238,"$75,000 under $100,000",556,48389
15238,"$100,000 under $200,000",1081,153911
15238,"$200,000 or more",1346,827501
,,,
15239,,"10,804","580,630"
15239,"$1 under $25,000",3801,42757
15239,"$25,000 under $50,000",2423,88732
15239,"$50,000 under $75,000",1777,110349
15239,"$75,000 under $100,000",1309,113599
15239,"$100,000 under $200,000",1346,175159
15239,"$200,000 or more",148,50034
,,,
15241,,"9,920","1,326,661"
15241,"$1 under $25,000",2918,24985
15241,"$25,000 under $50,000",1239,46189
15241,"$50,000 under $75,000",1042,64985
15241,"$75,000 under $100,000",1087,94850
15241,"$100,000 under $200,000",2251,317074
15241,"$200,000 or more",1383,778578
,,,
15243,,"7,178","621,138"
15243,"$1 under $25,000",2052,20592
15243,"$25,000 under $50,000",1216,45109
15243,"$50,000 under $75,000",1060,65929
15243,"$75,000 under $100,000",903,78501
15243,"$100,000 under $200,000",1397,189027
15243,"$200,000 or more",550,221980
,,,
15301,,"23,674","1,281,080"
15301,"$1 under $25,000",9879,116478
15301,"$25,000 under $50,000",5620,202248
15301,"$50,000 under $75,000",3340,205862
15301,"$75,000 under $100,000",2134,183989
15301,"$100,000 under $200,000",2196,285118
15301,"$200,000 or more",505,287385
,,,
15310,,124,"5,128"
15310,"$1 under $25,000",52,638
15310,"$25,000 under $50,000",33,1157
15310,"$50,000 under $75,000",** 39,"** 3,333"
15310,"$75,000 under $100,000",**,**
15310,"$100,000 under $200,000",**,**
15310,"$200,000 or more",**,**
,,,
15311,,671,"38,535"
15311,"$1 under $25,000",234,2643
15311,"$25,000 under $50,000",149,5487
15311,"$50,000 under $75,000",103,6517
15311,"$75,000 under $100,000",79,6785
15311,"$100,000 under $200,000",106,17103
15311,"$200,000 or more",**,**
,,,
15312,,"1,686","92,035"
15312,"$1 under $25,000",590,7021
15312,"$25,000 under $50,000",427,15503
15312,"$50,000 under $75,000",290,17928
15312,"$75,000 under $100,000",170,14646
15312,"$100,000 under $200,000",169,21657
15312,"$200,000 or more",40,15280
,,,
15314,,"1,668","69,707"
15314,"$1 under $25,000",710,8101
15314,"$25,000 under $50,000",395,14208
15314,"$50,000 under $75,000",298,18374
15314,"$75,000 under $100,000",141,12087
15314,"$100,000 under $200,000",124,16937
15314,"$200,000 or more",**,**
,,,
15316,,114,"4,117"
15316,"$1 under $25,000",53,636
15316,"$25,000 under $50,000",61,3481
15316,"$50,000 under $75,000",**,**
15316,"$75,000 under $100,000",**,**
15316,"$100,000 under $200,000",**,**
15316,"$200,000 or more",0,0
,,,
15317,,"18,503","1,531,266"
15317,"$1 under $25,000",5884,63370
15317,"$25,000 under $50,000",3453,126764
15317,"$50,000 under $75,000",2539,157941
15317,"$75,000 under $100,000",2207,191471
15317,"$100,000 under $200,000",3232,440083
15317,"$200,000 or more",1188,551637
,,,
15320,,"2,390","112,127"
15320,"$1 under $25,000",993,11698
15320,"$25,000 under $50,000",543,19803
15320,"$50,000 under $75,000",354,22147
15320,"$75,000 under $100,000",220,18844
15320,"$100,000 under $200,000",251,31973
15320,"$200,000 or more",29,7662
,,,
15321,,920,"48,881"
15321,"$1 under $25,000",342,3892
15321,"$25,000 under $50,000",195,7068
15321,"$50,000 under $75,000",136,8596
15321,"$75,000 under $100,000",113,9718
15321,"$100,000 under $200,000",134,19607
15321,"$200,000 or more",**,**
,,,
15322,,873,"39,760"
15322,"$1 under $25,000",336,3948
15322,"$25,000 under $50,000",232,8498
15322,"$50,000 under $75,000",138,8542
15322,"$75,000 under $100,000",91,7810
15322,"$100,000 under $200,000",76,10962
15322,"$200,000 or more",**,**
,,,
15323,,"2,156","106,872"
15323,"$1 under $25,000",815,9491
15323,"$25,000 under $50,000",555,20369
15323,"$50,000 under $75,000",374,23001
15323,"$75,000 under $100,000",201,17145
15323,"$100,000 under $200,000",170,21300
15323,"$200,000 or more",41,15566
,,,
15327,,572,"31,262"
15327,"$1 under $25,000",242,3094
15327,"$25,000 under $50,000",128,4616
15327,"$50,000 under $75,000",80,4937
15327,"$75,000 under $100,000",48,4181
15327,"$100,000 under $200,000",74,14434
15327,"$200,000 or more",**,**
,,,
15329,,878,"44,919"
15329,"$1 under $25,000",352,3949
15329,"$25,000 under $50,000",201,7220
15329,"$50,000 under $75,000",134,8415
15329,"$75,000 under $100,000",87,7401
15329,"$100,000 under $200,000",80,10377
15329,"$200,000 or more",** 24,"** 7,557"
,,,
15330,,"2,638","187,215"
15330,"$1 under $25,000",871,9863
15330,"$25,000 under $50,000",519,18893
15330,"$50,000 under $75,000",376,23207
15330,"$75,000 under $100,000",320,27604
15330,"$100,000 under $200,000",432,57548
15330,"$200,000 or more",120,50100
,,,
15332,,"4,263","210,319"
15332,"$1 under $25,000",1658,19806
15332,"$25,000 under $50,000",1007,36621
15332,"$50,000 under $75,000",689,42838
15332,"$75,000 under $100,000",439,37997
15332,"$100,000 under $200,000",414,53383
15332,"$200,000 or more",56,19674
,,,
15333,,928,"44,035"
15333,"$1 under $25,000",356,4091
15333,"$25,000 under $50,000",240,8591
15333,"$50,000 under $75,000",131,7960
15333,"$75,000 under $100,000",105,9168
15333,"$100,000 under $200,000",96,14225
15333,"$200,000 or more",**,**
,,,
15337,,319,"18,965"
15337,"$1 under $25,000",114,1294
15337,"$25,000 under $50,000",83,3061
15337,"$50,000 under $75,000",52,3124
15337,"$75,000 under $100,000",23,1974
15337,"$100,000 under $200,000",47,9512
15337,"$200,000 or more",**,**
,,,
15338,,741,"41,705"
15338,"$1 under $25,000",321,4103
15338,"$25,000 under $50,000",169,6152
15338,"$50,000 under $75,000",107,6613
15338,"$75,000 under $100,000",68,5925
15338,"$100,000 under $200,000",76,18912
15338,"$200,000 or more",**,**
,,,
15340,,765,"47,254"
15340,"$1 under $25,000",265,3093
15340,"$25,000 under $50,000",165,6072
15340,"$50,000 under $75,000",123,7597
15340,"$75,000 under $100,000",87,7544
15340,"$100,000 under $200,000",99,12850
15340,"$200,000 or more",26,10098
,,,
15341,,353,"20,725"
15341,"$1 under $25,000",133,1550
15341,"$25,000 under $50,000",90,3322
15341,"$50,000 under $75,000",53,3208
15341,"$75,000 under $100,000",28,2368
15341,"$100,000 under $200,000",49,10277
15341,"$200,000 or more",**,**
,,,
15342,,"2,501","126,260"
15342,"$1 under $25,000",934,11215
15342,"$25,000 under $50,000",628,22816
15342,"$50,000 under $75,000",425,26538
15342,"$75,000 under $100,000",243,21162
15342,"$100,000 under $200,000",237,29727
15342,"$200,000 or more",34,14802
,,,
15344,,789,"38,462"
15344,"$1 under $25,000",305,3767
15344,"$25,000 under $50,000",180,6566
15344,"$50,000 under $75,000",132,8244
15344,"$75,000 under $100,000",94,8162
15344,"$100,000 under $200,000",78,11723
15344,"$200,000 or more",**,**
,,,
15345,,743,"34,500"
15345,"$1 under $25,000",296,3839
15345,"$25,000 under $50,000",200,7223
15345,"$50,000 under $75,000",129,7978
15345,"$75,000 under $100,000",64,5490
15345,"$100,000 under $200,000",54,9970
15345,"$200,000 or more",**,**
,,,
15349,,803,"48,791"
15349,"$1 under $25,000",282,3361
15349,"$25,000 under $50,000",184,6566
15349,"$50,000 under $75,000",138,8489
15349,"$75,000 under $100,000",105,9040
15349,"$100,000 under $200,000",94,21335
15349,"$200,000 or more",**,**
,,,
15352,,358,"17,811"
15352,"$1 under $25,000",154,1806
15352,"$25,000 under $50,000",91,3265
15352,"$50,000 under $75,000",49,3025
15352,"$75,000 under $100,000",28,2442
15352,"$100,000 under $200,000",36,7273
15352,"$200,000 or more",**,**
,,,
15357,,780,"37,475"
15357,"$1 under $25,000",294,3391
15357,"$25,000 under $50,000",176,6351
15357,"$50,000 under $75,000",125,7616
15357,"$75,000 under $100,000",100,8540
15357,"$100,000 under $200,000",85,11577
15357,"$200,000 or more",**,**
,,,
15359,,117,"5,643"
15359,"$1 under $25,000",40,407
15359,"$25,000 under $50,000",26,952
15359,"$50,000 under $75,000",** 51,"** 4,284"
15359,"$75,000 under $100,000",**,**
15359,"$100,000 under $200,000",**,**
15359,"$200,000 or more",**,**
,,,
15360,,892,"51,851"
15360,"$1 under $25,000",298,3505
15360,"$25,000 under $50,000",201,7389
15360,"$50,000 under $75,000",146,9124
15360,"$75,000 under $100,000",91,7992
15360,"$100,000 under $200,000",156,23841
15360,"$200,000 or more",**,**
,,,
15362,,327,"16,219"
15362,"$1 under $25,000",130,1729
15362,"$25,000 under $50,000",79,2998
15362,"$50,000 under $75,000",53,3261
15362,"$75,000 under $100,000",34,2893
15362,"$100,000 under $200,000",31,5338
15362,"$200,000 or more",**,**
,,,
15363,,427,"16,087"
15363,"$1 under $25,000",183,2367
15363,"$25,000 under $50,000",129,4628
15363,"$50,000 under $75,000",75,4613
15363,"$75,000 under $100,000",40,4479
15363,"$100,000 under $200,000",**,**
15363,"$200,000 or more",**,**
,,,
15364,,316,"17,131"
15364,"$1 under $25,000",107,1234
15364,"$25,000 under $50,000",81,3061
15364,"$50,000 under $75,000",56,3497
15364,"$75,000 under $100,000",36,3111
15364,"$100,000 under $200,000",36,6228
15364,"$200,000 or more",**,**
,,,
15367,,"4,071","521,941"
15367,"$1 under $25,000",1262,10701
15367,"$25,000 under $50,000",448,16713
15367,"$50,000 under $75,000",345,21410
15367,"$75,000 under $100,000",362,31354
15367,"$100,000 under $200,000",987,139199
15367,"$200,000 or more",667,302564
,,,
15370,,"5,472","306,490"
15370,"$1 under $25,000",2187,25331
15370,"$25,000 under $50,000",1216,44113
15370,"$50,000 under $75,000",813,49802
15370,"$75,000 under $100,000",556,48204
15370,"$100,000 under $200,000",569,73588
15370,"$200,000 or more",131,65452
,,,
15376,,797,"38,048"
15376,"$1 under $25,000",293,3557
15376,"$25,000 under $50,000",219,8118
15376,"$50,000 under $75,000",134,8364
15376,"$75,000 under $100,000",74,6418
15376,"$100,000 under $200,000",77,11591
15376,"$200,000 or more",**,**
,,,
15377,,317,"16,659"
15377,"$1 under $25,000",127,1547
15377,"$25,000 under $50,000",77,2757
15377,"$50,000 under $75,000",48,2972
15377,"$75,000 under $100,000",26,2238
15377,"$100,000 under $200,000",39,7145
15377,"$200,000 or more",**,**
,,,
15380,,308,"17,731"
15380,"$1 under $25,000",123,1556
15380,"$25,000 under $50,000",69,2491
15380,"$50,000 under $75,000",47,2931
15380,"$75,000 under $100,000",26,2179
15380,"$100,000 under $200,000",43,8574
15380,"$200,000 or more",**,**
,,,
15401,,"14,350","614,927"
15401,"$1 under $25,000",6929,80699
15401,"$25,000 under $50,000",3343,120695
15401,"$50,000 under $75,000",1904,116757
15401,"$75,000 under $100,000",1032,88630
15401,"$100,000 under $200,000",935,121129
15401,"$200,000 or more",207,87017
,,,
15410,,351,"12,485"
15410,"$1 under $25,000",172,2190
15410,"$25,000 under $50,000",83,2852
15410,"$50,000 under $75,000",54,3377
15410,"$75,000 under $100,000",42,4066
15410,"$100,000 under $200,000",**,**
15410,"$200,000 or more",**,**
,,,
15411,,317,"13,798"
15411,"$1 under $25,000",132,1670
15411,"$25,000 under $50,000",84,3146
15411,"$50,000 under $75,000",43,2633
15411,"$75,000 under $100,000",32,2716
15411,"$100,000 under $200,000",26,3633
15411,"$200,000 or more",**,**
,,,
15413,,232,"7,124"
15413,"$1 under $25,000",130,1616
15413,"$25,000 under $50,000",50,1775
15413,"$50,000 under $75,000",52,3733
15413,"$75,000 under $100,000",**,**
15413,"$100,000 under $200,000",**,**
15413,"$200,000 or more",**,**
,,,
15417,,"3,510","149,106"
15417,"$1 under $25,000",1606,19647
15417,"$25,000 under $50,000",830,29981
15417,"$50,000 under $75,000",486,29895
15417,"$75,000 under $100,000",304,26256
15417,"$100,000 under $200,000",250,31650
15417,"$200,000 or more",34,11677
,,,
15419,,883,"37,633"
15419,"$1 under $25,000",393,4313
15419,"$25,000 under $50,000",198,7118
15419,"$50,000 under $75,000",121,7468
15419,"$75,000 under $100,000",93,7961
15419,"$100,000 under $200,000",78,10773
15419,"$200,000 or more",**,**
,,,
15423,,885,"50,978"
15423,"$1 under $25,000",334,3904
15423,"$25,000 under $50,000",195,7049
15423,"$50,000 under $75,000",130,8091
15423,"$75,000 under $100,000",96,8302
15423,"$100,000 under $200,000",130,23632
15423,"$200,000 or more",**,**
,,,
15424,,"1,060","38,562"
15424,"$1 under $25,000",516,6646
15424,"$25,000 under $50,000",267,9804
15424,"$50,000 under $75,000",172,10373
15424,"$75,000 under $100,000",61,5252
15424,"$100,000 under $200,000",44,6487
15424,"$200,000 or more",**,**
,,,
15425,,"8,768","344,381"
15425,"$1 under $25,000",4101,49304
15425,"$25,000 under $50,000",2237,80916
15425,"$50,000 under $75,000",1236,76265
15425,"$75,000 under $100,000",658,56833
15425,"$100,000 under $200,000",475,59669
15425,"$200,000 or more",61,21394
,,,
15427,,532,"21,666"
15427,"$1 under $25,000",231,2905
15427,"$25,000 under $50,000",126,4512
15427,"$50,000 under $75,000",95,5794
15427,"$75,000 under $100,000",50,4245
15427,"$100,000 under $200,000",30,4210
15427,"$200,000 or more",**,**
,,,
15428,,842,"33,402"
15428,"$1 under $25,000",359,4571
15428,"$25,000 under $50,000",227,8272
15428,"$50,000 under $75,000",136,8141
15428,"$75,000 under $100,000",71,6010
15428,"$100,000 under $200,000",49,6408
15428,"$200,000 or more",**,**
,,,
15429,,101,"3,374"
15429,"$1 under $25,000",50,706
15429,"$25,000 under $50,000",51,2668
15429,"$50,000 under $75,000",**,**
15429,"$75,000 under $100,000",**,**
15429,"$100,000 under $200,000",**,**
15429,"$200,000 or more",0,0
,,,
15431,,"2,126","82,545"
15431,"$1 under $25,000",998,11978
15431,"$25,000 under $50,000",545,19748
15431,"$50,000 under $75,000",316,19495
15431,"$75,000 under $100,000",160,13556
15431,"$100,000 under $200,000",107,17768
15431,"$200,000 or more",**,**
,,,
15433,,327,"14,026"
15433,"$1 under $25,000",127,1552
15433,"$25,000 under $50,000",81,2974
15433,"$50,000 under $75,000",66,4086
15433,"$75,000 under $100,000",28,2402
15433,"$100,000 under $200,000",25,3012
15433,"$200,000 or more",**,**
,,,
15436,,"1,222","46,916"
15436,"$1 under $25,000",562,6922
15436,"$25,000 under $50,000",347,12417
15436,"$50,000 under $75,000",141,8664
15436,"$75,000 under $100,000",96,8222
15436,"$100,000 under $200,000",76,10691
15436,"$200,000 or more",**,**
